City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
145,Grand Bank,CA,47.10,-55.77,44.6,90,98,19.82,overcast clouds
146,Vila Franca Do Campo,PT,37.72,-25.43,60.8,94,40,6.91,scattered clouds
147,Eisenstadt,AT,47.85,16.52,37.0,69,0,6.91,clear sky
148,Okitipupa,NG,6.50,4.78,78.8,89,5,2.19,clear sky
149,Kalinagar,IN,28.62,80.10,69.24,9,10,4.45,clear sky
150,Tamandare,BR,-8.76,-35.10,79.05,79,12,8.32,few clouds
151,Ertil,RU,51.84,40.81,37.27,87,98,4.61,overcast clouds
152,Cockburn Town,TC,21.46,-71.14,75.2,64,75,18.41,broken clouds
153,Berezayka,RU,57.99,33.90,33.12,87,99,9.04,overcast clouds
154,Vestmannaeyjar,IS,63.44,-20.27,20.97,51,9,22.06,clear sky
155,Zavetnoye,RU,47.12,43.89,46.83,89,100,5.73,light rain
156,Santa Maria,BR,-29.68,-53.81,80.6,65,20,8.05,few clouds
157,Fort-Shevchenko,KZ,44.51,50.26,48.0,75,24,11.56,few clouds
158,Illapel,CL,-31.63,-71.17,69.87,66,87,5.23,overcast clouds
159,Demba,CD,-5.51,22.27,67.82,99,96,1.36,overcast clouds
160,Faya,SA,18.39,42.45,64.4,42,0,4.61,clear sky
161,Asfi,MA,32.30,-9.24,59.61,84,0,16.53,clear sky
162,Sur,OM,22.57,59.53,83.62,44,1,7.07,clear sky
163,Beloit,US,42.51,-89.03,77.0,16,40,16.11,scattered clouds
164,Misratah,LY,32.38,15.09,65.79,72,100,11.61,overcast clouds
165,Medvedovskaya,RU,45.45,39.03,51.8,87,40,8.95,scattered clouds
166,Betioky,MG,-23.72,44.38,68.05,85,59,3.8,broken clouds
167,Troitsko-Pechorsk,RU,62.71,56.20,17.89,96,58,3.18,broken clouds
168,Kruisfontein,ZA,-34.00,24.73,66.99,80,98,1.01,overcast clouds
169,Talas,TR,38.69,35.55,46.4,71,40,3.44,scattered clouds
170,Mugan,CN,35.94,101.38,31.98,62,4,4.36,clear sky
171,Salalah,OM,17.02,54.09,80.6,78,0,4.61,clear sky
172,Husavik,IS,66.04,-17.34,17.6,67,90,14.97,overcast clouds
173,Eyl,SO,7.98,49.82,79.72,76,15,5.64,few clouds
174,Prochnookopskaya,RU,45.07,41.12,48.06,87,96,3.04,moderate rain
175,Lebu,CL,-37.62,-73.65,58.24,75,34,11.86,scattered clouds
176,Nargana,PA,9.44,-78.59,79.97,78,88,17.0,overcast clouds
177,Kutum,SD,14.20,24.67,70.3,13,11,10.0,few clouds
178,Berlevag,NO,70.86,29.09,34.99,97,100,9.4,snow
179,Quatre Cocos,MU,-20.21,57.76,81.0,75,43,7.0,light rain
180,Picota,PE,-6.92,-76.33,80.6,83,75,5.75,broken clouds
