City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
104,Horadiz,AZ,2021-03-27 02:34:29,39.4488,47.3353,42.8,100,20,4.61
105,Inhambane,MZ,2021-03-27 02:34:29,-23.865,35.3833,72.99,88,12,6.6
106,Sinazongwe,ZM,2021-03-27 02:34:30,-17.2614,27.4618,72.41,79,44,2.01
107,Upata,VE,2021-03-27 02:34:30,8.0086,-62.3989,75.0,90,81,3.0
108,Olafsvik,IS,2021-03-27 02:25:53,64.8945,-23.7142,18.14,62,98,10.71
109,Boyuibe,BO,2021-03-27 02:34:30,-20.4167,-63.2833,70.9,87,100,2.51
110,Albany,US,2021-03-27 02:25:56,42.6001,-73.9662,48.0,59,100,1.99
111,Ericeira,PT,2021-03-27 02:34:31,38.9627,-9.4156,54.0,93,100,11.27
112,Huarmey,PE,2021-03-27 02:26:22,-10.0681,-78.1522,70.74,81,79,7.67
113,Porto Velho,BR,2021-03-27 02:32:40,-8.7619,-63.9039,77.0,94,20,1.86
114,Yuzhno-Sukhokumsk,RU,2021-03-27 02:34:31,44.6581,45.6436,37.42,80,99,12.1
115,Lagoa,PT,2021-03-27 02:25:28,39.05,-27.9833,56.8,63,99,7.92
116,Gberia Fotombu,SL,2021-03-27 02:34:32,9.8833,-11.1667,71.65,62,2,5.23
117,Iqaluit,CA,2021-03-27 02:24:36,63.7506,-68.5145,-20.0,69,1,10.36
118,Bosaso,SO,2021-03-27 02:34:32,11.2842,49.1816,76.1,64,77,5.12
119,Manama,BH,2021-03-27 02:34:07,26.2154,50.5832,77.0,57,0,6.91
120,Kyzyl-Suu,KG,2021-03-27 02:34:32,42.3414,78.0056,43.0,83,100,4.61
121,Beroroha,MG,2021-03-27 02:34:33,-21.6667,45.1667,68.41,95,0,1.12
122,Longyearbyen,SJ,2021-03-27 02:34:33,78.2186,15.6401,17.6,73,20,28.77
123,Lizzanello,IT,2021-03-27 02:34:33,40.3041,18.2225,44.01,100,0,4.61
124,Terra Boa,BR,2021-03-27 02:34:34,-23.7681,-52.4442,75.2,73,0,6.91
125,Mahebourg,MU,2021-03-27 02:34:34,-20.4081,57.7,73.4,94,20,6.91
126,Marsh Harbour,BS,2021-03-27 02:34:34,26.5412,-77.0636,75.67,77,29,10.63
127,Tambura,SS,2021-03-27 02:34:34,5.6,27.4667,66.99,96,83,4.74
128,Husavik,IS,2021-03-27 02:34:35,66.0449,-17.3389,15.8,73,40,2.3
129,Mana,GF,2021-03-27 02:26:09,5.6592,-53.7767,77.14,82,14,9.64
130,Maniitsoq,GL,2021-03-27 02:25:28,65.4167,-52.9,-11.94,79,32,10.98
