City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
179,Quatre Cocos,MU,81.0,light rain,-20.21,57.76,Emeraude Beach Attitude Hotel
180,Picota,PE,80.6,broken clouds,-6.92,-76.33,Hospedaje Vanessa
183,Buchanan,LR,80.6,scattered clouds,5.88,-10.05,Kamaneahn Hotel Inc
184,Yarmouth,US,52.0,clear sky,41.71,-70.23,The Inn At Cape Cod
185,Etah,IN,77.25,scattered clouds,27.63,78.67,क्षाया रेस्टोरेंट एंड फैमिली ढाबा
186,Marawi,PH,67.17,overcast clouds,8.0,124.29,Derogongan Residence
187,Santiago Del Estero,AR,82.38,broken clouds,-27.8,-64.26,Apartamentos Castelli 90
190,Puerto Maldonado,PE,76.06,moderate rain,-12.6,-69.18,Wasai Hotel
193,Omboue,GA,78.49,light rain,-1.57,9.26,Hotel Olako
194,Kalmunai,LK,78.48,overcast clouds,7.42,81.82,VS Villa
195,Florianopolis,BR,78.01,scattered clouds,-27.61,-48.5,Hotel Boutique Quinta das Videiras
196,Hagere Selam,ET,51.94,broken clouds,6.48,38.52,Tigist Fire Pension
198,Atar,MR,85.05,broken clouds,20.52,-13.05,Oumou Elghoura
199,Shelburne,CA,55.4,clear sky,44.08,-80.2,The Retreat at the Farm
200,Bambous Virieux,MU,81.0,scattered clouds,-20.34,57.76,Casa Tia Villa
201,Bud,US,73.4,clear sky,39.45,-86.18,Ted McQuinn Trust
202,Bandarbeyla,SO,77.92,scattered clouds,9.49,50.81,JABIR HOTEL
204,Gamboma,CG,76.95,light rain,-1.88,15.86,Residence N'Keni
206,La Palma,US,79.0,clear sky,33.85,-118.05,"Levar & Ryan Properties, LLC."
207,Matara,LK,75.2,overcast clouds,5.95,80.54,Amaloh Boutique Resort
208,Tabou,CI,79.0,light rain,4.42,-7.35,hotêl doufoulougou
211,Mecca,SA,76.75,overcast clouds,21.43,39.83,"Makkah Clock Royal Tower, A Fairmont Hotel"
212,Plettenberg Bay,ZA,66.72,overcast clouds,-34.05,23.37,Thanda Vista B&B
213,Sinnamary,GF,77.67,overcast clouds,5.38,-52.95,ALETHEIA Appartement Sinnamary
214,Kaabong,UG,66.74,light rain,3.48,34.15,Rock Motel Ltd
216,Kikwit,CD,69.31,overcast clouds,-5.04,18.82,Centre D'Accueil Protestant
218,Cuamba,MZ,66.2,few clouds,-14.8,36.54,Hotel Vision
219,Sao Gabriel Da Cachoeira,BR,75.13,moderate rain,-0.13,-67.09,Alarne - Área De Lazer Do Alto Rio Negro
220,Tahta,EG,68.0,clear sky,26.77,31.5,ماستر تك
221,San Vicente De Canete,PE,73.38,scattered clouds,-13.08,-76.38,Hotel Konford
222,Rocha,UY,65.98,scattered clouds,-34.48,-54.33,Beleza Pura B&B
225,Talcahuano,CL,57.2,broken clouds,-36.72,-73.12,Hotel Terramar
228,Marsh Harbour,BS,67.6,overcast clouds,26.54,-77.06,Abaco Beach Resort
229,Inirida,CO,77.25,moderate rain,3.87,-67.92,Fuente del Guania Hotel de Lujo
232,Sabha,LY,74.7,scattered clouds,27.04,14.43,محطة ام الارانب -سبها مواصلات
233,Zemio,CF,80.76,overcast clouds,5.03,25.14,OCHA Office
238,Inongo,CD,73.71,light rain,-1.95,18.27,Hotel Du Lac
242,Utica,US,55.4,clear sky,43.1,-75.23,Days Inn by Wyndham Utica
243,San Andres,CO,86.0,few clouds,12.58,-81.7,Hotel Arena Blanca
